Skills,Experience (Years),Education,Certifications,Job Role,Projects Count,strength
"TensorFlow, NLP, Pytorch",10,B.Sc,None,AI Researcher,8,Strong
"Deep Learning, Machine Learning, Python, SQL",10,MBA,Google ML,Data Scientist,1,Strong
"Ethical Hacking, Cybersecurity, Linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,7,Average
"Python, Pytorch, TensorFlow",7,B.Tech,AWS Certified,AI Researcher,0,Strong
"SQL, React, Java",4,PhD,None,Software Engineer,9,Strong
"Cybersecurity, Networking, Linux, Ethical Hacking",10,B.Tech,Google ML,Cybersecurity Analyst,5,Strong
"Networking, Cybersecurity, Ethical Hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,9,Strong
"TensorFlow, Pytorch, NLP",3,M.Tech,AWS Certified,AI Researcher,7,Strong
"Networking, Ethical Hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,3,Strong
"Python, TensorFlow, Pytorch, NLP",0,M.Tech,AWS Certified,AI Researcher,1,Weak
"SQL, Java, C++",1,PhD,Deep Learning Specialization,Software Engineer,7,Average
"Cybersecurity, Ethical Hacking, Networking",0,MBA,Google ML,Cybersecurity Analyst,5,Average
"Cybersecurity, Networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,9,Average
"SQL, C++, Java",4,B.Sc,Deep Learning Specialization,Software Engineer,10,Strong
"Pytorch, NLP",0,M.Tech,Deep Learning Specialization,AI Researcher,5,Weak
"Cybersecurity, Networking",1,PhD,Google ML,Cybersecurity Analyst,6,Average
"SQL, Python",10,PhD,None,Data Scientist,2,Strong
"Linux, Networking, Cybersecurity, Ethical Hacking",3,B.Tech,None,Cybersecurity Analyst,6,Strong
"SQL, Python, Deep Learning",3,MBA,None,Data Scientist,10,Strong
"Machine Learning, SQL, Python",10,B.Tech,Deep Learning Specialization,Data Scientist,9,Strong
"SQL, Java, C++, React",5,B.Sc,None,Software Engineer,4,Strong
"Python, TensorFlow, Pytorch, NLP",6,B.Sc,Google ML,AI Researcher,10,Strong
"Machine Learning, Deep Learning, SQL",4,MBA,AWS Certified,Data Scientist,8,Strong
"TensorFlow, Pytorch, NLP, Python",8,MBA,Deep Learning Specialization,AI Researcher,0,Strong
